consignorId,consigneeName,address1,cityId,branchId
59,"Avenue Supermarts Ltd.,","Avenue Supermarts Ltd.,, Karakambadi Tirupati Dmart, Karakambadi, Chittoor",785,510
59,"Avenue Supermarts Ltd.,",ATTAVAR ROAD MANGALORE,486,151
59,VYSHNAVI ENTERPRISES,JAGATGIRI GUTTA LANE,504,278
59,ZOMATO HYPERPURE PRIVATE LIMITED,CHEMNNAI TAMILNADU ,829,123
59,Metro Cash N Carry,"Metro Cash N Carry, SURVEY NO 165/P, MARIKA VALASA, VISAKHAPATNA",820,544
59,LOCALBUY TECHNOLOGIES PRIVATE LIMITED,SURVEY NO 105 CUDDPAH KSRME COLLEGE PST YSR DIST,326,96
59,ROOPA AGENCY,18-1-111/7 UPPUGUDA HYDERABAD,292,195
59,"RELiance Retail Ltd.,",DISTRIBUTION CENTRE SY NOS 446P447P469P GROUND FLOOR POLAVARAM CANAL ROAD NUNNA,584,603
59,VASAVI ENTERPRISES,PLOTNO22/P ALKAPURI TOWNSHIP PUPPALAGUNDA RANGAREDDY TELANGANA,685,195
59,"Reliance Retail Ltd.,","Reliance Retail Ltd.,, R S No. 93/2, 93/3, and 93/1A, Hukumpet Village Rajamahendravaram, East Godavari, Rajahmundry, Andhra Pradesh",669,
59,VASAVI ENTERPRISES,PLOT NO RANGAREDDY HYDERABAB,292,195
59,VALUE EXPRESS CORPORATE SERVICES,"PLOT NO23,24 AND 25 SURVEY NO316 GANDPET MANDAL HYDERABAD",292,195
59,Metro Cash N Carry,"Metro Cash N Carry, SURVEY NO. 447/2, DOOR NO. 15-13-30, GUNTUR.",259,575
59,"Avenue Supermarts Ltd.,","Avenue Supermarts Ltd.,, MSR Nagar Nellore Dmart, MSR Nagar, Nellore",574,389
59,DEVESIRI ENTERPRISES,CHINAGANTYADA GAJUWAKA,229,541
59,"Reliance Retail Ltd.,",NUNNA VIJAYAWADA,584,603
59,SRI VINAYAKA DISTRIBUTORS,YAPRAL KINDI BASTI,504,278
59,VYSHNAVI ENTERPRISES,JAGATGIRI GUTTA LANE,504,278
59,LOCALBUY TECHNOLOGIES PRIVATE LIMITED,KSRME COLLEGE POST,326,96
59,Metro Cash N Carry,MOGALRAJPURAM VIJAYAWADA,822,608
59,RUTUJA TRADERS,BHATTA GALLI HANMANTWADI,399,174
59,RAJESHWARI AGENCIES,TEACHERS COLONY KOSGI,412,268
59,RAMU AGENCIES,"SHIVAJI KOSGI,9701561580",412,268
59,SREE SAI ENTERPRISES,SHIRDI PURAM COLONY,664,195
59,SREE SWASTIK AGENCIES,SR RESIDENCY MADHAPUR,461,195
59,"Avenue Supermarts Ltd.,",NH DAREBAIL MANGALORE,486,151
59,"Avenue Supermarts Ltd.,",ATTAVAR ROAD MANGALORE,486,151
59,VENKATESHWRA DISTRIBUTORS,NEAR MMC LIBRARY,459,490
59,SAI VISHAL ENTERPRISES,KUMMARA STREET PUNGANUR,657,499
